xcenter,ycenter,dwell,Tpeak,power,Sample,x,y,Ta.nmol_offgrid,Ta.nmol_ongrid,Sn.nmol_offgrid,Sn.nmol_ongrid,Ta.nmol_relRatio,Sn.nmol_relRatio
-44,-10,2924,1212,37.9262153510233,10459,6.087,37.423,5.64,5.65,117,119,1,1.02
-44,-5,629,1062,42.5723409046418,12309,6.087,42.503,5.73,5.77,123,125,1.01,1.02
-44,0,1581,1062,37.9346427415324,13974,6.087,47.075,5.7,5.64,121,124,0.99,1.02
-44,5,2507,988,34.6788202595092,15824,6.087,52.155,5.65,5.75,113,114,1.02,1.01
-44,10,3410,1175,36.8395432624911,17674,6.087,57.235,5.43,5.54,98.7,99.3,1.02,1.01
-42,-15,2924,988,34.1054989177394,8614,8.119,32.343,6.06,6.02,101,101,0.992,0.994
-42,-10,2507,500,20.8230088457419,10463,8.119,37.423,6.19,6.13,113,113,0.99,1.01
-42,-5,2150,1288,40.1417367406136,12313,8.119,42.503,6.23,6.23,118,119,1,1.01
-42,0,1163,1175,41.1995629441779,13978,8.119,47.075,6.27,6.24,117,117,0.995,1
-42,5,539,1175,45.7300304517779,15828,8.119,52.155,6.26,6.26,108,108,0.999,0.999
-42,10,2924,1362,39.9225468420021,17678,8.119,57.235,6.06,6.03,94.5,95.9,0.996,1.01
-42,15,3410,725,27.1204633363394,19525,8.119,62.315,6.01,5.97,79.6,78.9,0.994,0.991
-40,-20,1163,688,30.1554687941369,6815,10.151,27.263,6.41,6.35,83.4,81.8,0.99,0.981
-40,-15,2150,1250,39.6187606580896,8618,10.151,32.343,6.55,6.55,95.3,95.6,1,1
-40,-10,1163,1025,38.6319101738923,10467,10.151,37.423,6.68,6.76,106,106,1.01,0.999
-40,-5,250,1025,48.8804827942138,12317,10.151,42.503,6.82,6.74,111,110,0.988,0.99
-40,0,3976,838,29.630806723872,13982,10.151,47.075,6.82,6.84,110,109,1,0.991
-40,5,1163,1362,44.1689025389069,15832,10.151,52.155,6.76,6.71,102,103,0.992,1.01
-40,10,250,1362,61.9747246769677,17682,10.151,57.235,6.78,6.55,90.4,90.4,0.966,1
-40,15,2150,688,27.6492544442535,19529,10.151,62.315,6.51,6.58,76.1,76.6,1.01,1.01
-40,20,3410,538,21.2579340853079,21325,10.151,67.395,6.52,6.45,62.5,61.9,0.988,0.991
-38,-20,2150,1025,35.9960621299336,6819,12.183,27.263,6.92,6.79,78.3,77.8,0.982,0.994
-38,-15,8575,1025,31.3324284492387,8622,12.183,32.343,7.04,7.15,89.9,90.5,1.01,1.01
-38,-10,10000,1025,30.8907814242754,10471,12.183,37.423,7.32,7.23,99.3,99.1,0.987,0.998
-38,-5,340,688,37.0276905980521,12321,12.183,42.503,7.33,7.44,104,103,1.02,0.992
-38,0,7354,1175,34.3993552357562,13986,12.183,47.075,7.45,7.37,103,103,0.989,1
-38,5,340,988,45.284948760954,15836,12.183,52.155,7.37,7.22,96,96,0.981,1
-38,10,855,1288,44.7437157083811,17686,12.183,57.235,7.44,7.38,86.3,86.7,0.993,1
-38,15,340,762,39.4607504583521,19533,12.183,62.315,6.98,7.14,73.9,73.7,1.02,0.998
-38,20,4637,612,22.7831019776189,21329,12.183,67.395,7,6.97,60.5,60.4,0.996,0.998
-36,-25,8575,1250,35.0675924895523,5108,14.215,22.183,7.23,7.15,62.9,62.5,0.988,0.992
-36,-20,2150,500,21.2856753383982,6823,14.215,27.263,7.43,7.29,74.7,74.6,0.981,0.999
-36,-15,1581,575,25.046255168268,8626,14.215,32.343,7.63,7.63,84.4,84.6,0.999,1
-36,-10,7354,1288,36.0207260615671,10475,14.215,37.423,7.89,7.84,92.1,91.4,0.994,0.993
-36,-5,340,538,31.046599271115,12325,14.215,42.503,7.89,7.89,96.3,96.4,0.999,1
-36,0,3410,988,33.5529577244617,13990,14.215,47.075,7.98,7.98,95.6,94.7,1,0.991
-36,5,3410,500,19.9592545398383,15840,14.215,52.155,8.02,8,89.8,90.4,0.997,1.01
-36,10,855,575,27.5886697319317,17690,14.215,57.235,7.96,7.9,81.5,81.8,0.992,1
-36,15,8575,1325,36.0658771948081,19537,14.215,62.315,7.64,7.56,70.3,70.1,0.99,0.997
-36,20,733,1025,40.9855940554519,21333,14.215,67.395,7.5,7.69,58.8,58.3,1.02,0.991
-36,25,292,1212,52.4702259093249,23038,14.215,72.475,7.4,7.33,48.2,48.2,0.99,1
-34,-25,340,800,40.5892244506963,5112,16.247,22.183,7.76,7.69,59.4,59.4,0.991,1
-34,-20,997,1025,39.3743662444478,6827,16.247,27.263,7.96,7.96,70.5,70.3,1,0.998
-34,-15,4637,688,25.0706968421863,8630,16.247,32.343,8.26,8.22,79.5,79.1,0.995,0.995
-34,-10,1844,1400,42.3460843546556,10479,16.247,37.423,8.47,8.55,85.4,85.1,1.01,0.996
-34,-5,6306,838,28.1558440851486,12329,16.247,42.503,8.55,8.58,89.1,88.7,1,0.996
-34,0,4637,1138,35.232949218008,13994,16.247,47.075,8.52,8.55,88.7,88.1,1,0.994
-34,5,462,688,35.0072771521108,15844,16.247,52.155,8.72,8.56,83.3,84,0.981,1.01
-34,10,629,612,30.5021055813528,17694,16.247,57.235,8.51,8.42,76.4,76,0.99,0.995
-34,15,396,762,38.3997733257495,19541,16.247,62.315,8.23,8.41,66.2,66.7,1.02,1.01
-34,20,462,725,36.2382529493833,21337,16.247,67.395,8.2,8.11,56.2,56.4,0.989,1
-34,25,462,1025,43.8266996266979,23042,16.247,72.475,7.91,8,46.4,46.9,1.01,1.01
-32,-30,1356,1362,43.3132252586362,3518,17.771,17.103,8.06,7.8,47.9,47.3,0.967,0.986
-32,-25,7354,612,21.551618617872,5115,17.771,22.183,8.37,8.27,56,56.8,0.988,1.02
-32,-20,1844,500,21.770994593871,6830,17.771,27.263,8.6,8.64,65.2,66.2,1.01,1.02
-32,-15,3976,1100,35.1087531860991,8633,17.771,32.343,8.99,8.92,73,73.4,0.992,1.01
-32,-10,340,575,32.655262016624,10482,17.771,37.423,9.26,9.03,78.1,80,0.975,1.02
-32,-5,5407,650,23.5028147445891,12332,17.771,42.503,9.21,9.22,81.4,82.3,1,1.01
-32,0,1163,725,31.3170081996228,13997,17.771,47.075,9.31,9.32,80.9,81.4,1,1.01
-32,5,733,688,32.3851962409506,15847,17.771,52.155,9.43,9.53,77,78.1,1.01,1.01
-32,10,3410,1062,34.968896975182,17697,17.771,57.235,9.33,9.27,70.6,71.2,0.993,1.01
-32,15,2150,1212,39.0789965988103,19544,17.771,62.315,8.96,9.04,62.2,62.8,1.01,1.01
-32,20,997,725,32.0346738057942,21340,17.771,67.395,8.89,8.93,53.4,53.4,1.01,1
-32,25,2924,688,26.5532016578959,23045,17.771,72.475,8.63,8.52,44.7,45.1,0.988,1.01
-32,30,7354,1212,34.9601219520801,24476,17.771,77.047,8.55,8.52,38,38.4,0.997,1.01
-30,-30,5407,1138,34.743312640363,3522,19.803,17.103,8.56,8.43,45.8,45.7,0.985,0.997
-30,-25,2924,538,21.7029992396665,5119,19.803,22.183,8.87,8.81,53.6,53.7,0.994,1
-30,-20,2507,838,31.2758634679799,6834,19.803,27.263,9.18,9.48,61.9,61.9,1.03,1
-30,-15,462,1062,44.5790704407434,8637,19.803,32.343,9.54,9.73,68.9,68.6,1.02,0.997
-30,-10,6306,1212,35.4144944311593,10486,19.803,37.423,9.87,9.65,73.2,73.1,0.978,0.999
-30,-5,7354,500,18.1079354668133,12336,19.803,42.503,9.94,10,75.8,76,1.01,1
-30,0,10000,538,18.6217588102609,14001,19.803,47.075,9.97,10.1,75.6,75.7,1.02,1
-30,5,8575,875,28.1331052197763,15851,19.803,52.155,9.95,9.91,72.3,71.7,0.996,0.992
-30,10,629,875,38.6035739458717,17701,19.803,57.235,9.88,9.76,66.2,66.1,0.987,0.999
-30,15,1163,650,28.9013725590848,19548,19.803,62.315,9.7,9.49,59,58.7,0.978,0.996
-30,20,250,912,46.0375701516615,21344,19.803,67.395,9.34,9.57,51.4,51,1.02,0.993
-30,25,997,1325,44.4475172319261,23049,19.803,72.475,9.1,9.19,43.4,43.2,1.01,0.994
-30,30,250,950,46.9966096843412,24480,19.803,77.047,9.06,9,36.9,37.4,0.993,1.01
-28,-30,3976,612,23.2279913487818,3526,21.835,17.103,9.16,9.17,43.8,44.2,1,1.01
-28,-25,7354,538,19.2996717524056,5123,21.835,22.183,9.52,9.5,50.8,51.3,0.998,1.01
-28,-20,2924,1100,36.1805487788928,6838,21.835,27.263,9.91,10.2,58.1,57.5,1.02,0.99
-28,-15,250,612,36.404045854008,8641,21.835,32.343,10.3,10.4,63.9,63.9,1.01,1
-28,-10,8575,725,24.3579945410587,10490,21.835,37.423,10.5,10.5,67.7,68.7,0.997,1.01
-28,-5,7354,688,23.7520823701456,12340,21.835,42.503,10.8,10.7,69.9,69.7,0.989,0.998
-28,0,629,912,39.4802885072264,14005,21.835,47.075,10.8,10.9,69.4,70.1,1.01,1.01
